journey_id,name,character,start_date,end_date,target_miles,number_of_distances_logged
Mordor,"The Shire",Frodo,27-03-24,28-04-24,145,29
Mordor,"The Fellowship",Frodo,29-04-24,24-07-24,680,87
Mordor,"Mines of Moria",Frodo,24-07-24,28-07-24,40,5
Mordor,"The Eye of Sauron",Frodo,24-08-24,04-12-24,668,99
Mordor,Mordor,Frodo,04-12-24,07-01-25,282,35
Return,Rohan,Aragorn,14-01-25,29-03-25,450,75
Return,"Helm's Deep",Aragorn,30-03-25,04-06-25,370,64
Return,"Gondor",Aragorn,05-06-25,26-08-25,662,85
Hobbit,"An Unexpected Journey",Bilbo,20-01-26,07-04-26,609,78
Hobbit,"The Desolation of Smaug",Bilbo,08-04-26,31-05-26,416,55
Hobbit,"The Battle of the Five Armies",Bilbo,01-06-26,10-06-26,75,11
