date,journey_id,character,segment,distance_miles,cumulative_miles,all_time_cumulative_miles
2024-03-27,Mordor,Frodo,The Shire,7.1574,7.1574,7.1574
2024-03-28,Mordor,Frodo,The Shire,3.9363,11.0938,11.0938
2024-03-29,Mordor,Frodo,The Shire,7.7227,18.8165,18.8165
2024-03-30,Mordor,Frodo,The Shire,6.8843,25.7008,25.7008
2024-03-31,Mordor,Frodo,The Shire,4.6431,30.3439,30.3439
2024-04-01,Mordor,Frodo,The Shire,3.7402,34.0842,34.0842
2024-04-02,Mordor,Frodo,The Shire,0.9770,35.0612,35.0612
2024-04-03,Mordor,Frodo,The Shire,0.5500,35.6112,35.6112
2024-04-04,Mordor,Frodo,The Shire,0.2527,35.8639,35.8639
2024-04-05,Mordor,Frodo,The Shire,5.1016,40.9655,40.9655
2024-04-06,Mordor,Frodo,The Shire,0.4110,41.3765,41.3765
2024-04-07,Mordor,Frodo,The Shire,5.3067,46.6833,46.6833
2024-04-08,Mordor,Frodo,The Shire,5.3804,52.0636,52.0636
2024-04-09,Mordor,Frodo,The Shire,4.8413,56.9049,56.9049
2024-04-10,Mordor,Frodo,The Shire,0.3374,57.2423,57.2423
2024-04-11,Mordor,Frodo,The Shire,2.1663,59.4086,59.4086
2024-04-12,Mordor,Frodo,The Shire,5.8543,65.2629,65.2629
2024-04-13,Mordor,Frodo,The Shire,3.1735,68.4364,68.4364
2024-04-14,Mordor,Frodo,The Shire,5.7396,74.1760,74.1760
2024-04-15,Mordor,Frodo,The Shire,9.2254,83.4014,83.4014
2024-04-16,Mordor,Frodo,The Shire,5.4613,88.8627,88.8627
2024-04-17,Mordor,Frodo,The Shire,3.6823,92.5450,92.5450
2024-04-18,Mordor,Frodo,The Shire,5.7453,98.2903,98.2903
2024-04-19,Mordor,Frodo,The Shire,3.9837,102.2739,102.2739
2024-04-20,Mordor,Frodo,The Shire,5.0556,107.3295,107.3295
2024-04-21,Mordor,Frodo,The Shire,7.0483,114.3779,114.3779
2024-04-22,Mordor,Frodo,The Shire,8.6473,123.0251,123.0251
2024-04-23,Mordor,Frodo,The Shire,2.5216,125.5468,125.5468
2024-04-24,Mordor,Frodo,The Shire,8.4781,134.0249,134.0249
2024-04-25,Mordor,Frodo,The Shire,5.3916,139.4165,139.4165
2024-04-26,Mordor,Frodo,The Shire,1.2109,140.6274,140.6274
2024-04-27,Mordor,Frodo,The Shire,4.1121,144.7395,144.7395
2024-04-28,Mordor,Frodo,The Shire,4.4575,149.1970,149.1970
2024-04-29,Mordor,Frodo,The Fellowship,11.9273,161.1243,161.1243
2024-04-30,Mordor,Frodo,The Fellowship,0.6725,161.7967,161.7967
2024-05-01,Mordor,Frodo,The Fellowship,7.6837,169.4805,169.4805
2024-05-02,Mordor,Frodo,The Fellowship,4.8161,174.2966,174.2966
2024-05-03,Mordor,Frodo,The Fellowship,8.1317,182.4283,182.4283
2024-05-04,Mordor,Frodo,The Fellowship,8.0163,190.4446,190.4446
2024-05-05,Mordor,Frodo,The Fellowship,7.5431,197.9877,197.9877
2024-05-06,Mordor,Frodo,The Fellowship,5.8001,203.7878,203.7878
2024-05-07,Mordor,Frodo,The Fellowship,2.5510,206.3388,206.3388
2024-05-08,Mordor,Frodo,The Fellowship,5.0453,211.3841,211.3841
2024-05-09,Mordor,Frodo,The Fellowship,3.8841,215.2681,215.2681
2024-05-10,Mordor,Frodo,The Fellowship,1.9364,217.2045,217.2045
2024-05-11,Mordor,Frodo,The Fellowship,6.9756,224.1802,224.1802
2024-05-12,Mordor,Frodo,The Fellowship,6.4041,230.5842,230.5842
2024-05-13,Mordor,Frodo,The Fellowship,11.4521,242.0363,242.0363
2024-05-14,Mordor,Frodo,The Fellowship,9.3610,251.3973,251.3973
2024-05-15,Mordor,Frodo,The Fellowship,5.3884,256.7857,256.7857
2024-05-16,Mordor,Frodo,The Fellowship,9.2066,265.9923,265.9923
2024-05-17,Mordor,Frodo,The Fellowship,12.8613,278.8536,278.8536
2024-05-18,Mordor,Frodo,The Fellowship,8.0818,286.9353,286.9353
2024-05-19,Mordor,Frodo,The Fellowship,9.6671,296.6024,296.6024
2024-05-20,Mordor,Frodo,The Fellowship,17.3668,313.9693,313.9693
2024-05-21,Mordor,Frodo,The Fellowship,11.0814,325.0507,325.0507
2024-05-22,Mordor,Frodo,The Fellowship,5.2097,330.2604,330.2604
2024-05-23,Mordor,Frodo,The Fellowship,8.5952,338.8556,338.8556
2024-05-24,Mordor,Frodo,The Fellowship,8.7015,347.5572,347.5572
2024-05-25,Mordor,Frodo,The Fellowship,6.5928,354.1500,354.1500
2024-05-26,Mordor,Frodo,The Fellowship,8.8293,362.9793,362.9793
2024-05-27,Mordor,Frodo,The Fellowship,11.8172,374.7965,374.7965
2024-05-28,Mordor,Frodo,The Fellowship,10.4921,385.2886,385.2886
2024-05-29,Mordor,Frodo,The Fellowship,5.8185,391.1071,391.1071
2024-05-30,Mordor,Frodo,The Fellowship,5.8826,396.9896,396.9896
2024-05-31,Mordor,Frodo,The Fellowship,5.6831,402.6728,402.6728
2024-06-01,Mordor,Frodo,The Fellowship,7.9210,410.5938,410.5938
2024-06-02,Mordor,Frodo,The Fellowship,11.5847,422.1784,422.1784
2024-06-03,Mordor,Frodo,The Fellowship,8.8202,430.9987,430.9987
2024-06-04,Mordor,Frodo,The Fellowship,11.6119,442.6106,442.6106
2024-06-05,Mordor,Frodo,The Fellowship,2.6014,445.2120,445.2120
2024-06-06,Mordor,Frodo,The Fellowship,6.7451,451.9570,451.9570
2024-06-07,Mordor,Frodo,The Fellowship,6.5030,458.4600,458.4600
2024-06-08,Mordor,Frodo,The Fellowship,7.2772,465.7372,465.7372
2024-06-09,Mordor,Frodo,The Fellowship,10.3821,476.1193,476.1193
2024-06-10,Mordor,Frodo,The Fellowship,3.3386,479.4579,479.4579
2024-06-11,Mordor,Frodo,The Fellowship,1.8655,481.3234,481.3234
2024-06-12,Mordor,Frodo,The Fellowship,1.4222,482.7456,482.7456
2024-06-13,Mordor,Frodo,The Fellowship,7.4086,490.1542,490.1542
2024-06-14,Mordor,Frodo,The Fellowship,9.3113,499.4655,499.4655
2024-06-15,Mordor,Frodo,The Fellowship,8.8853,508.3508,508.3508
2024-06-16,Mordor,Frodo,The Fellowship,11.9534,520.3042,520.3042
2024-06-17,Mordor,Frodo,The Fellowship,4.2192,524.5234,524.5234
2024-06-18,Mordor,Frodo,The Fellowship,7.4937,532.0171,532.0171
2024-06-19,Mordor,Frodo,The Fellowship,6.7733,538.7903,538.7903
2024-06-20,Mordor,Frodo,The Fellowship,11.1640,549.9543,549.9543
2024-06-21,Mordor,Frodo,The Fellowship,6.7185,556.6727,556.6727
